BeeID,order,Treatment,Mstarved,M2,MF,Itspan,S,MetR,freq,amp,wingLen
E01,2,H,0.1577,0.2634,0.2559,0.00464,6.46E-05,12.54241162,186.9973122,128.7144749,0.011168431
E03,1,H,0.1732,0.3106,0.3079,0.00487,6.92E-05,11.78386549,174.9373542,144.7784118,0.01144364
E05,2,H,0.1755,0.2776,0.2742,0.00497,7.06E-05,12.20102461,178.8896419,125.6777813,0.011687302
E09,1,H,0.1135,0.2282,0.2084,0.0044,4.88E-05,9.471140466,191.8348456,139.3245994,0.00986884
E10,1,H,0.1269,0.2166,0.2099,0.00462,5.91E-05,11.03371339,186.1762107,128.8256708,0.01060036
E11,1,H,0.135,0.2223,0.2179,0.00464,5.88E-05,10.23580146,183.0259194,128.791592,0.010700182
E12,2,H,0.1363,0.2523,0.2438,0.00443,5.97E-05,11.42512543,181.1301601,130.3308945,0.010789615
E16,1,H,0.1694,0.3153,0.3024,0.00501,6.90E-05,14.25962695,176.0174698,133.5967582,0.011993347
E20,2,H,0.1886,0.3333,0.3102,0.00518,7.37E-05,14.37654028,173.0410947,131.3645447,0.012020423
E24,1,H,0.167,0.326,0.3143,0.00501,6.36E-05,15.71992526,170.8815033,137.7142853,0.011437341
E26,2,H,0.1384,0.2704,0.2639,0.00463,6.16E-05,10.37357413,173.9978411,135.4562966,0.010895406
E28,2,H,0.1472,0.2673,0.2599,0.00478,6.37E-05,14.32692942,184.6324867,132.4388441,0.011276051
E30,1,H,0.1317,0.2645,0.2568,0.0046,5.93E-05,10.93874407,178.7570698,141.7296912,0.011073511
E31,1,H,0.1395,0.2739,0.2711,0.00447,6.75E-05,11.85921819,177.8843733,133.5452939,0.011613312
E32,1,H,0.1008,0.1757,0.1709,0.00408,4.99E-05,7.463765503,188.3449368,133.6625302,0.00971362
E33,1,H,0.1213,0.2265,0.216,0.00412,5.49E-05,13.07916666,188.9977046,128.1947081,0.010263607
E35,2,H,0.1565,0.2542,0.2469,0.00462,6.10E-05,11.42350911,186.373992,128.6143253,0.011058144
E36,2,H,0.1147,0.232,0.2282,0.00443,5.97E-05,7.814131388,172.1202549,136.8141307,0.010571556
E37,2,H,0.0931,0.1751,0.1694,0.0041,4.82E-05,6.527323501,181.6031563,134.2865533,0.009637573
E39,1,H,0.148,0.3226,0.2951,0.00441,6.37E-05,15.09812274,182.5606758,140.1594124,0.011240465
E41,2,H,0.1258,0.265,0.261,0.00425,5.55E-05,10.00993027,184.8225461,138.7676919,0.010386695
E42,2,H,0.1371,0.2945,0.2761,0.00486,6.27E-05,12.28439942,175.1276318,138.0041901,0.010976483
E44,2,H,0.12,0.2196,0.2123,0.0042,5.53E-05,10.18861441,183.009081,130.5147229,0.010263607
E45,2,H,0.1776,0.3175,0.3065,0.00503,7.45E-05,13.63646655,180.6073875,116.7439037,0.011731269
E49,2,H,0.1182,0.2243,0.2125,0.00412,5.59E-05,11.12909466,180.8861358,129.3365189,0.010660253
E50,2,H,0.1392,0.289,0.271,0.00462,6.20E-05,11.5187044,176.8434325,135.6561536,0.011113389
